date,base,quote,rate
2013-01-01,SAR,AED,0.97933
2013-01-02,SAR,AED,0.97933
2013-01-03,SAR,AED,0.97933
2013-01-04,SAR,AED,0.97933
2013-01-05,SAR,AED,0.97933
2013-01-06,SAR,AED,0.97933
2013-01-07,SAR,AED,0.97933
2013-01-08,SAR,AED,0.97933
2013-01-09,SAR,AED,0.97933
2013-01-10,SAR,AED,0.97933
2013-01-11,SAR,AED,0.97933
2013-01-12,SAR,AED,0.97933
2013-01-13,SAR,AED,0.97933
2013-01-14,SAR,AED,0.97933
2013-01-15,SAR,AED,0.97933
2013-01-16,SAR,AED,0.97933
2013-01-17,SAR,AED,0.97933
2013-01-18,SAR,AED,0.97933
2013-01-19,SAR,AED,0.97933
2013-01-20,SAR,AED,0.97933
2013-01-21,SAR,AED,0.97933
2013-01-22,SAR,AED,0.97933
2013-01-23,SAR,AED,0.97933
2013-01-24,SAR,AED,0.97933
2013-01-25,SAR,AED,0.97933
2013-01-26,SAR,AED,0.97933
2013-01-27,SAR,AED,0.97933
2013-01-28,SAR,AED,0.97933
2013-01-29,SAR,AED,0.97933
2013-01-30,SAR,AED,0.97933
2013-01-31,SAR,AED,0.97933
2013-02-01,SAR,AED,0.97933
2013-02-02,SAR,AED,0.97933
2013-02-03,SAR,AED,0.97933
2013-02-04,SAR,AED,0.97933
2013-02-05,SAR,AED,0.97933
2013-02-06,SAR,AED,0.97933
2013-02-07,SAR,AED,0.97933
2013-02-08,SAR,AED,0.97933
2013-02-09,SAR,AED,0.97933
2013-02-10,SAR,AED,0.97933
2013-02-11,SAR,AED,0.97933
2013-02-12,SAR,AED,0.97933
2013-02-13,SAR,AED,0.97933
2013-02-14,SAR,AED,0.97933
2013-02-15,SAR,AED,0.97933
2013-02-16,SAR,AED,0.97933
2013-02-17,SAR,AED,0.97933
2013-02-18,SAR,AED,0.97933
2013-02-19,SAR,AED,0.97933
2013-02-20,SAR,AED,0.97933
2013-02-21,SAR,AED,0.97933
2013-02-22,SAR,AED,0.97933
2013-02-23,SAR,AED,0.97933
2013-02-24,SAR,AED,0.97933
2013-02-25,SAR,AED,0.97933
2013-02-26,SAR,AED,0.97933
2013-02-27,SAR,AED,0.97933
2013-02-28,SAR,AED,0.97933
2013-03-01,SAR,AED,0.97933
2013-03-02,SAR,AED,0.97933
2013-03-03,SAR,AED,0.97933
2013-03-04,SAR,AED,0.97933
2013-03-05,SAR,AED,0.97933
2013-03-06,SAR,AED,0.97933
2013-03-07,SAR,AED,0.97933
2013-03-08,SAR,AED,0.97933
2013-03-09,SAR,AED,0.97933
2013-03-10,SAR,AED,0.97933
2013-03-11,SAR,AED,0.97933
2013-03-12,SAR,AED,0.97933
2013-03-13,SAR,AED,0.97933
2013-03-14,SAR,AED,0.97933
2013-03-15,SAR,AED,0.97933
2013-03-16,SAR,AED,0.97933
2013-03-17,SAR,AED,0.97933
2013-03-18,SAR,AED,0.97933
2013-03-19,SAR,AED,0.97933
2013-03-20,SAR,AED,0.97933
2013-03-21,SAR,AED,0.97933
2013-03-22,SAR,AED,0.97933
2013-03-23,SAR,AED,0.97933
2013-03-24,SAR,AED,0.97933
2013-03-25,SAR,AED,0.97933
2013-03-26,SAR,AED,0.97933
2013-03-27,SAR,AED,0.97933
2013-03-28,SAR,AED,0.97933
2013-03-29,SAR,AED,0.97933
2013-03-30,SAR,AED,0.97933
2013-03-31,SAR,AED,0.97933
2013-04-01,SAR,AED,0.97933
2013-04-02,SAR,AED,0.97933
2013-04-03,SAR,AED,0.97933
2013-04-04,SAR,AED,0.97933
2013-04-05,SAR,AED,0.97933
2013-04-06,SAR,AED,0.97933
2013-04-07,SAR,AED,0.97933
2013-04-08,SAR,AED,0.97933
2013-04-09,SAR,AED,0.97933
2013-04-10,SAR,AED,0.97933
2013-04-11,SAR,AED,0.97933
2013-04-12,SAR,AED,0.97933
2013-04-13,SAR,AED,0.97933
2013-04-14,SAR,AED,0.97933
2013-04-15,SAR,AED,0.97933
2013-04-16,SAR,AED,0.97933
2013-04-17,SAR,AED,0.97933
2013-04-18,SAR,AED,0.97933
2013-04-19,SAR,AED,0.97933
2013-04-20,SAR,AED,0.97933
2013-04-21,SAR,AED,0.97933
2013-04-22,SAR,AED,0.97933
2013-04-23,SAR,AED,0.97933
2013-04-24,SAR,AED,0.97933
2013-04-25,SAR,AED,0.97933
2013-04-26,SAR,AED,0.97933
2013-04-27,SAR,AED,0.97933
2013-04-28,SAR,AED,0.97933
2013-04-29,SAR,AED,0.97933
2013-04-30,SAR,AED,0.97933
2013-05-01,SAR,AED,0.97933
2013-05-02,SAR,AED,0.97933
2013-05-03,SAR,AED,0.97933
2013-05-04,SAR,AED,0.97933
