year,quarter,year_quarter,gdp_value,nominal_gdp_growth_rate,quarterly_inflation_rate,unemployment_rate,is_estimated
2014,Q1,2014-Q1,762832.0,7.07,1.37,5.61,True
2014,Q2,2014-Q2,763677.0,5.82,2.03,5.7,True
2014,Q3,2014-Q3,759291.0,4.06,2.0,5.64,True
2014,Q4,2014-Q4,666024.0,-7.86,1.97,5.72,True
2015,Q1,2015-Q1,669419.0,-12.25,1.53,5.68,True
2015,Q2,2015-Q2,684728.0,-10.34,1.23,5.74,True
2015,Q3,2015-Q3,644479.0,-15.12,0.97,5.82,True
2015,Q4,2015-Q4,601678.0,-9.66,1.0,5.77,True
2016,Q1,2016-Q1,608587.0,-9.09,3.4,5.72,True
2016,Q2,2016-Q2,654884.0,-4.36,3.17,5.7,True
2016,Q3,2016-Q3,648526.0,0.63,2.93,5.81,True
2016,Q4,2016-Q4,672801.0,11.82,2.17,5.87,True
2017,Q1,2017-Q1,670636.0,10.2,-0.7,5.8,False
2017,Q2,2017-Q2,682872.0,4.27,-0.77,6.0,False
2017,Q3,2017-Q3,697938.0,7.62,-0.9,5.8,False
2017,Q4,2017-Q4,728302.0,8.25,-1.03,6.0,False
2018,Q1,2018-Q1,774359.0,15.47,2.97,6.1,False
2018,Q2,2018-Q2,844768.0,23.71,2.47,6.0,False
2018,Q3,2018-Q3,843111.0,20.8,2.3,6.0,False
2018,Q4,2018-Q4,862380.0,18.41,2.17,6.0,False
2019,Q1,2019-Q1,791540.0,2.22,-2.93,5.7,False
2019,Q2,2019-Q2,846688.0,0.23,-2.5,5.6,False
2019,Q3,2019-Q3,837803.0,-0.63,-1.77,5.5,False
2019,Q4,2019-Q4,857307.0,-0.59,-0.97,5.7,False
2020,Q1,2020-Q1,739156.0,-6.62,0.8,5.7,False
2020,Q2,2020-Q2,646000.0,-23.7,0.47,9.0,False
2020,Q3,2020-Q3,733093.0,-12.5,5.9,8.5,False
2020,Q4,2020-Q4,761568.0,-11.17,5.53,7.4,False
2021,Q1,2021-Q1,823010.0,11.34,5.1,5.8,False
2021,Q2,2021-Q2,884785.0,36.96,5.83,6.3,False
2021,Q3,2021-Q3,961502.0,31.16,0.47,6.1,False
2021,Q4,2021-Q4,1015682.0,33.37,1.33,6.3,False
2022,Q1,2022-Q1,1071428.0,30.18,1.83,5.4,False
2022,Q2,2022-Q2,1218947.0,37.77,2.33,5.1,False
2022,Q3,2022-Q3,1199420.0,24.74,2.87,4.9,False
2022,Q4,2022-Q4,1156737.0,13.89,3.17,4.1,False
2023,Q1,2023-Q1,1146388.0,7.0,3.23,4.3,False
2023,Q2,2023-Q2,1126757.0,-7.56,2.83,4.1,False
2023,Q3,2023-Q3,1143376.0,-4.67,2.13,4.2,False
2023,Q4,2023-Q4,1153172.0,-0.31,1.67,3.4,False
2024,Q1,2024-Q1,1163668.0,1.51,1.5,3.5,False
2024,Q2,2024-Q2,1186619.0,5.31,1.6,3.3,False
2024,Q3,2024-Q3,1165884.0,1.97,1.4,3.7,False
2024,Q4,2024-Q4,1186857.0,2.92,1.47,3.5,False
2025,Q1,2025-Q1,1198648.0,3.01,1.8,2.8,False
2025,Q2,2025-Q2,1175941.0,-0.9,2.07,3.2,False
2025,Q3,2025-Q3,1191102.0,2.16,2.23,3.4,False
2025,Q4,2025-Q4,1210139.0,1.96,2.07,3.5,False
2026,Q1,2026-Q1,1273819.0,6.27,1.77,3.1,False
