item_name,date,inflation_rate,year,quarter,year_quarter
General Index,01-01-2014,1.1,2014,Q1,2014-Q1
General Index,01-02-2014,1.5,2014,Q1,2014-Q1
General Index,01-03-2014,1.5,2014,Q1,2014-Q1
General Index,01-04-2014,2.0,2014,Q2,2014-Q2
General Index,01-05-2014,2.0,2014,Q2,2014-Q2
General Index,01-06-2014,2.1,2014,Q2,2014-Q2
General Index,01-07-2014,1.9,2014,Q3,2014-Q3
General Index,01-08-2014,2.1,2014,Q3,2014-Q3
General Index,01-09-2014,2.0,2014,Q3,2014-Q3
General Index,01-10-2014,2.0,2014,Q4,2014-Q4
General Index,01-11-2014,2.0,2014,Q4,2014-Q4
General Index,01-12-2014,1.9,2014,Q4,2014-Q4
General Index,01-01-2015,1.7,2015,Q1,2015-Q1
General Index,01-02-2015,1.4,2015,Q1,2015-Q1
General Index,01-03-2015,1.5,2015,Q1,2015-Q1
General Index,01-04-2015,1.1,2015,Q2,2015-Q2
General Index,01-05-2015,1.3,2015,Q2,2015-Q2
General Index,01-06-2015,1.3,2015,Q2,2015-Q2
General Index,01-07-2015,1.1,2015,Q3,2015-Q3
General Index,01-08-2015,0.9,2015,Q3,2015-Q3
General Index,01-09-2015,0.9,2015,Q3,2015-Q3
General Index,01-10-2015,1.0,2015,Q4,2015-Q4
General Index,01-11-2015,1.0,2015,Q4,2015-Q4
General Index,01-12-2015,1.0,2015,Q4,2015-Q4
General Index,01-01-2016,3.3,2016,Q1,2016-Q1
General Index,01-02-2016,3.5,2016,Q1,2016-Q1
General Index,01-03-2016,3.4,2016,Q1,2016-Q1
General Index,01-04-2016,3.4,2016,Q2,2016-Q2
General Index,01-05-2016,3.1,2016,Q2,2016-Q2
General Index,01-06-2016,3.0,2016,Q2,2016-Q2
General Index,01-07-2016,3.0,2016,Q3,2016-Q3
General Index,01-08-2016,2.9,2016,Q3,2016-Q3
General Index,01-09-2016,2.9,2016,Q3,2016-Q3
General Index,01-10-2016,2.6,2016,Q4,2016-Q4
General Index,01-11-2016,2.1,2016,Q4,2016-Q4
General Index,01-12-2016,1.8,2016,Q4,2016-Q4
General Index,01-01-2017,-0.7,2017,Q1,2017-Q1
General Index,01-02-2017,-0.6,2017,Q1,2017-Q1
General Index,01-03-2017,-0.8,2017,Q1,2017-Q1
General Index,01-04-2017,-0.8,2017,Q2,2017-Q2
General Index,01-05-2017,-0.7,2017,Q2,2017-Q2
General Index,01-06-2017,-0.8,2017,Q2,2017-Q2
General Index,01-07-2017,-1.0,2017,Q3,2017-Q3
General Index,01-08-2017,-0.9,2017,Q3,2017-Q3
General Index,01-09-2017,-0.8,2017,Q3,2017-Q3
General Index,01-10-2017,-0.9,2017,Q4,2017-Q4
General Index,01-11-2017,-1.1,2017,Q4,2017-Q4
General Index,01-12-2017,-1.1,2017,Q4,2017-Q4
General Index,01-01-2018,3.1,2018,Q1,2018-Q1
General Index,01-02-2018,2.9,2018,Q1,2018-Q1
General Index,01-03-2018,2.9,2018,Q1,2018-Q1
General Index,01-04-2018,2.6,2018,Q2,2018-Q2
General Index,01-05-2018,2.3,2018,Q2,2018-Q2
General Index,01-06-2018,2.5,2018,Q2,2018-Q2
General Index,01-07-2018,2.4,2018,Q3,2018-Q3
General Index,01-08-2018,2.4,2018,Q3,2018-Q3
General Index,01-09-2018,2.1,2018,Q3,2018-Q3
General Index,01-10-2018,2.0,2018,Q4,2018-Q4
General Index,01-11-2018,2.3,2018,Q4,2018-Q4
General Index,01-12-2018,2.2,2018,Q4,2018-Q4
General Index,01-01-2019,-2.8,2019,Q1,2019-Q1
General Index,01-02-2019,-3.0,2019,Q1,2019-Q1
General Index,01-03-2019,-3.0,2019,Q1,2019-Q1
General Index,01-04-2019,-2.8,2019,Q2,2019-Q2
General Index,01-05-2019,-2.4,2019,Q2,2019-Q2
General Index,01-06-2019,-2.3,2019,Q2,2019-Q2
General Index,01-07-2019,-2.0,2019,Q3,2019-Q3
General Index,01-08-2019,-1.8,2019,Q3,2019-Q3
General Index,01-09-2019,-1.5,2019,Q3,2019-Q3
General Index,01-10-2019,-1.3,2019,Q4,2019-Q4
General Index,01-11-2019,-1.2,2019,Q4,2019-Q4
General Index,01-12-2019,-0.4,2019,Q4,2019-Q4
General Index,01-01-2020,0.4,2020,Q1,2020-Q1
General Index,01-02-2020,0.9,2020,Q1,2020-Q1
General Index,01-03-2020,1.1,2020,Q1,2020-Q1
General Index,01-04-2020,0.9,2020,Q2,2020-Q2
General Index,01-05-2020,0.5,2020,Q2,2020-Q2
General Index,01-06-2020,0.0,2020,Q2,2020-Q2
General Index,01-07-2020,6.1,2020,Q3,2020-Q3
General Index,01-08-2020,6.1,2020,Q3,2020-Q3
General Index,01-09-2020,5.5,2020,Q3,2020-Q3
General Index,01-10-2020,5.8,2020,Q4,2020-Q4
General Index,01-11-2020,5.7,2020,Q4,2020-Q4
General Index,01-12-2020,5.1,2020,Q4,2020-Q4
General Index,01-01-2021,5.4,2021,Q1,2021-Q1
General Index,01-02-2021,5.0,2021,Q1,2021-Q1
General Index,01-03-2021,4.9,2021,Q1,2021-Q1
General Index,01-04-2021,5.3,2021,Q2,2021-Q2
General Index,01-05-2021,5.8,2021,Q2,2021-Q2
General Index,01-06-2021,6.4,2021,Q2,2021-Q2
General Index,01-07-2021,0.3,2021,Q3,2021-Q3
General Index,01-08-2021,0.3,2021,Q3,2021-Q3
General Index,01-09-2021,0.8,2021,Q3,2021-Q3
General Index,01-10-2021,1.0,2021,Q4,2021-Q4
General Index,01-11-2021,1.4,2021,Q4,2021-Q4
General Index,01-12-2021,1.6,2021,Q4,2021-Q4
