indicator_name,unemployment_rate,is_estimated,year,quarter,year_quarter
Unemployment rate by nationality and sex,5.88,True,2013,Q1,2013-Q1
Unemployment rate by nationality and sex,5.72,True,2013,Q2,2013-Q2
Unemployment rate by nationality and sex,5.69,True,2013,Q3,2013-Q3
Unemployment rate by nationality and sex,5.66,True,2013,Q4,2013-Q4
Unemployment rate by nationality and sex,5.61,True,2014,Q1,2014-Q1
Unemployment rate by nationality and sex,5.7,True,2014,Q2,2014-Q2
Unemployment rate by nationality and sex,5.64,True,2014,Q3,2014-Q3
Unemployment rate by nationality and sex,5.72,True,2014,Q4,2014-Q4
Unemployment rate by nationality and sex,5.68,True,2015,Q1,2015-Q1
Unemployment rate by nationality and sex,5.74,True,2015,Q2,2015-Q2
Unemployment rate by nationality and sex,5.82,True,2015,Q3,2015-Q3
Unemployment rate by nationality and sex,5.77,True,2015,Q4,2015-Q4
Unemployment rate by nationality and sex,5.72,True,2016,Q1,2016-Q1
Unemployment rate by nationality and sex,5.7,True,2016,Q2,2016-Q2
Unemployment rate by nationality and sex,5.81,True,2016,Q3,2016-Q3
Unemployment rate by nationality and sex,5.87,True,2016,Q4,2016-Q4
Unemployment rate by nationality and sex,5.8,False,2017,Q1,2017-Q1
Unemployment rate by nationality and sex,6.0,False,2017,Q2,2017-Q2
Unemployment rate by nationality and sex,5.8,False,2017,Q3,2017-Q3
Unemployment rate by nationality and sex,6.0,False,2017,Q4,2017-Q4
Unemployment rate by nationality and sex,6.1,False,2018,Q1,2018-Q1
Unemployment rate by nationality and sex,6.0,False,2018,Q2,2018-Q2
Unemployment rate by nationality and sex,6.0,False,2018,Q3,2018-Q3
Unemployment rate by nationality and sex,6.0,False,2018,Q4,2018-Q4
Unemployment rate by nationality and sex,5.7,False,2019,Q1,2019-Q1
Unemployment rate by nationality and sex,5.6,False,2019,Q2,2019-Q2
Unemployment rate by nationality and sex,5.5,False,2019,Q3,2019-Q3
Unemployment rate by nationality and sex,5.7,False,2019,Q4,2019-Q4
Unemployment rate by nationality and sex,5.7,False,2020,Q1,2020-Q1
Unemployment rate by nationality and sex,9.0,False,2020,Q2,2020-Q2
Unemployment rate by nationality and sex,8.5,False,2020,Q3,2020-Q3
Unemployment rate by nationality and sex,7.4,False,2020,Q4,2020-Q4
Unemployment rate by nationality and sex,5.8,False,2021,Q1,2021-Q1
Unemployment rate by nationality and sex,6.3,False,2021,Q2,2021-Q2
Unemployment rate by nationality and sex,6.1,False,2021,Q3,2021-Q3
Unemployment rate by nationality and sex,6.3,False,2021,Q4,2021-Q4
Unemployment rate by nationality and sex,5.4,False,2022,Q1,2022-Q1
Unemployment rate by nationality and sex,5.1,False,2022,Q2,2022-Q2
Unemployment rate by nationality and sex,4.9,False,2022,Q3,2022-Q3
Unemployment rate by nationality and sex,4.1,False,2022,Q4,2022-Q4
Unemployment rate by nationality and sex,4.3,False,2023,Q1,2023-Q1
Unemployment rate by nationality and sex,4.1,False,2023,Q2,2023-Q2
Unemployment rate by nationality and sex,4.2,False,2023,Q3,2023-Q3
Unemployment rate by nationality and sex,3.4,False,2023,Q4,2023-Q4
Unemployment rate by nationality and sex,3.5,False,2024,Q1,2024-Q1
Unemployment rate by nationality and sex,3.3,False,2024,Q2,2024-Q2
Unemployment rate by nationality and sex,3.7,False,2024,Q3,2024-Q3
Unemployment rate by nationality and sex,3.5,False,2024,Q4,2024-Q4
Unemployment rate by nationality and sex,2.8,False,2025,Q1,2025-Q1
Unemployment rate by nationality and sex,3.2,False,2025,Q2,2025-Q2
Unemployment rate by nationality and sex,3.4,False,2025,Q3,2025-Q3
Unemployment rate by nationality and sex,3.5,False,2025,Q4,2025-Q4
Unemployment rate by nationality and sex,3.1,False,2026,Q1,2026-Q1
