Date,Close,Open,High,Low,Volume,Change%
2014-01-01,8605.34,8535.6,8605.56,8535.22,184630000.0,0.82
2014-01-02,8618.12,8605.34,8621.49,8572.34,176630000.0,0.15
2014-01-05,8637.74,8618.12,8638.25,8602.35,184300000.0,0.23
2014-01-06,8611.81,8637.74,8637.74,8594.78,204100000.0,-0.3
2014-01-07,8608.8,8611.81,8620.37,8588.05,205950000.0,-0.03
2014-01-08,8652.5,8608.79,8659.26,8604.03,234830000.0,0.51
2014-01-09,8677.87,8652.5,8678.53,8629.42,232410000.0,0.29
2014-01-12,8714.73,8677.87,8714.73,8649.91,231850000.0,0.42
2014-01-13,8711.87,8714.73,8726.57,8637.84,224920000.0,-0.03
2014-01-14,8696.39,8711.87,8713.48,8662.04,181220000.0,-0.18
2014-01-15,8745.28,8696.39,8757.43,8689.85,230350000.0,0.56
2014-01-16,8761.06,8745.28,8779.88,8738.82,198240000.0,0.18
2014-01-19,8739.73,8761.06,8761.3,8659.83,211630000.0,-0.24
2014-01-20,8727.78,8739.73,8749.61,8720.67,184190000.0,-0.14
2014-01-21,8734.49,8727.78,8743.73,8656.26,223180000.0,0.08
2014-01-22,8761.16,8734.49,8789.35,8705.92,231370000.0,0.31
2014-01-23,8771.99,8761.16,8803.73,8757.94,179210000.0,0.12
2014-01-26,8735.59,8771.99,8771.99,8609.68,204320000.0,-0.41
2014-01-27,8655.01,8735.59,8746.27,8649.25,210110000.0,-0.92
2014-01-28,8656.11,8655.01,8700.42,8636.55,180240000.0,0.01
2014-01-29,8704.21,8656.11,8742.63,8656.11,216870000.0,0.56
2014-01-30,8760.62,8704.21,8760.62,8680.56,232090000.0,0.65
2014-02-02,8835.12,8760.62,8843.41,8760.62,258050000.0,0.85
2014-02-03,8806.92,8835.12,8848.96,8800.1,253260000.0,-0.32
2014-02-04,8768.9,8806.92,8806.92,8692.48,260630000.0,-0.43
2014-02-05,8792.8,8768.9,8799.8,8759.53,228550000.0,0.27
2014-02-06,8819.31,8792.8,8825.07,8788.04,196210000.0,0.3
2014-02-09,8865.8,8819.31,8901.5,8819.31,241060000.0,0.53
2014-02-10,8873.95,8865.8,8876.62,8841.87,190800000.0,0.09
2014-02-11,8859.2,8873.95,8879.84,8844.59,226840000.0,-0.17
2014-02-12,8912.58,8859.2,8917.19,8858.05,204640000.0,0.6
2014-02-13,8929.6,8912.58,8935.97,8912.58,200680000.0,0.19
2014-02-16,8970.44,8929.6,8990.11,8929.6,211240000.0,0.46
2014-02-17,8939.88,8970.44,8983.88,8919.02,216440000.0,-0.34
2014-02-18,8956.86,8939.88,8979.02,8936.67,204980000.0,0.19
2014-02-19,8967.62,8956.86,8977.02,8939.44,266240000.0,0.12
2014-02-20,8988.87,8967.62,8993.26,8952.05,287190000.0,0.24
2014-02-23,9023.42,8988.87,9036.14,8988.87,263870000.0,0.38
2014-02-24,9057.08,9023.42,9059.45,9019.25,309680000.0,0.37
2014-02-25,9061.93,9057.08,9086.22,9020.74,304920000.0,0.05
2014-02-26,9058.54,9061.93,9069.53,9042.57,317950000.0,-0.04
2014-02-27,9106.55,9058.54,9111.72,9054.71,248910000.0,0.53
2014-03-02,9088.68,9106.55,9137.58,9045.74,313330000.0,-0.2
2014-03-03,9019.98,9088.68,9088.68,8971.56,341700000.0,-0.76
2014-03-04,9148.73,9019.98,9148.89,9019.98,369760000.0,1.43
2014-03-05,9161.33,9148.73,9207.24,9098.22,424690000.0,0.14
2014-03-06,9248.82,9161.33,9251.88,9161.33,303960000.0,0.95
2014-03-09,9350.6,9248.82,9355.13,9248.71,454200000.0,1.1
2014-03-10,9343.78,9350.6,9362.48,9297.45,442780000.0,-0.07
2014-03-11,9354.55,9343.78,9376.21,9313.4,304700000.0,0.12
2014-03-12,9351.11,9354.55,9354.55,9293.49,296400000.0,-0.04
2014-03-13,9386.08,9351.11,9406.83,9342.09,250030000.0,0.37
2014-03-16,9378.87,9386.08,9395.08,9341.09,282560000.0,-0.08
2014-03-17,9368.03,9378.87,9390.64,9356.16,258209999.99999997,-0.12
2014-03-18,9331.69,9368.03,9401.95,9315.07,333520000.0,-0.39
2014-03-19,9318.63,9331.69,9346.38,9284.95,256399999.99999997,-0.14
2014-03-20,9305.64,9318.63,9319.77,9259.37,270300000.0,-0.14
2014-03-23,9425.21,9305.64,9428.12,9301.05,300050000.0,1.28
2014-03-24,9429.21,9425.21,9461.2,9405.06,280700000.0,0.04
2014-03-25,9433.63,9429.21,9437.91,9402.26,240550000.0,0.05
2014-03-26,9449.92,9433.63,9450.08,9421.88,257230000.00000003,0.17
2014-03-27,9423.08,9449.92,9453.47,9396.63,272960000.0,-0.28
2014-03-30,9462.98,9423.08,9462.98,9423.08,250580000.0,0.42
2014-03-31,9473.71,9462.98,9474.34,9419.87,249820000.0,0.11
2014-04-01,9516.17,9473.71,9516.23,9465.51,244380000.0,0.45
