,,,,,,
CL_ADMIN_PRICES_EN,Index Numbers,,,,,
Indicator Name,Selected period with the corresponding period last year,,,,,
,,,,,,
Item Code,Item Name,YEAR_MONTH,CL_ADMIN_PRICES_E,D_BASKET_LVL,Indicator Name,OBS_VALUE
01.1.6.5.2,Fresh kiwi,9/1/17,Index Numbers,5,Selected period with the corresponding period last year,0
01.1.6.5.2,Fresh kiwi,5/1/25,Index Numbers,5,Selected period with the corresponding period last year,9.9
01.1.6.5.2,Fresh kiwi,4/1/25,Index Numbers,5,Selected period with the corresponding period last year,7.2
01.1.6.5.2,Fresh kiwi,3/1/25,Index Numbers,5,Selected period with the corresponding period last year,11.8
01.1.6.5.2,Fresh kiwi,2/1/25,Index Numbers,5,Selected period with the corresponding period last year,16.1
01.1.6.5.2,Fresh kiwi,1/1/25,Index Numbers,5,Selected period with the corresponding period last year,16.2
01.1.6.5.2,Fresh kiwi,12/1/24,Index Numbers,5,Selected period with the corresponding period last year,9.1
01.1.6.5.2,Fresh kiwi,11/1/24,Index Numbers,5,Selected period with the corresponding period last year,11.3
01.1.6.5.2,Fresh kiwi,10/1/24,Index Numbers,5,Selected period with the corresponding period last year,10.4
01.1.6.5.2,Fresh kiwi,9/1/24,Index Numbers,5,Selected period with the corresponding period last year,12.4
01.1.6.5.2,Fresh kiwi,7/1/25,Index Numbers,5,Selected period with the corresponding period last year,-1.6
01.1.6.5.2,Fresh kiwi,6/1/25,Index Numbers,5,Selected period with the corresponding period last year,11
01.1.6.5.2,Fresh kiwi,12/1/25,Index Numbers,5,Selected period with the corresponding period last year,-2.9
01.1.6.5.2,Fresh kiwi,11/1/25,Index Numbers,5,Selected period with the corresponding period last year,-6.2
01.1.6.5.2,Fresh kiwi,10/1/25,Index Numbers,5,Selected period with the corresponding period last year,-9.4
01.1.6.5.2,Fresh kiwi,9/1/25,Index Numbers,5,Selected period with the corresponding period last year,-10.2
01.1.6.5.2,Fresh kiwi,8/1/25,Index Numbers,5,Selected period with the corresponding period last year,-4.8
01.1.6.5.2,Fresh kiwi,6/1/18,Index Numbers,5,Selected period with the corresponding period last year,-16.5
01.1.6.5.2,Fresh kiwi,2/1/26,Index Numbers,5,Selected period with the corresponding period last year,-7.8
01.1.6.5.2,Fresh kiwi,1/1/26,Index Numbers,5,Selected period with the corresponding period last year,-8.1
09.3,GARDEN PRODUCTS AND PETS,1/1/26,Index Numbers,2,Selected period with the corresponding period last year,0.8
09.3,GARDEN PRODUCTS AND PETS,12/1/25,Index Numbers,2,Selected period with the corresponding period last year,1
09.3,GARDEN PRODUCTS AND PETS,11/1/25,Index Numbers,2,Selected period with the corresponding period last year,1.4
09.3,GARDEN PRODUCTS AND PETS,10/1/25,Index Numbers,2,Selected period with the corresponding period last year,0.9
09.3,GARDEN PRODUCTS AND PETS,9/1/25,Index Numbers,2,Selected period with the corresponding period last year,0.9
