cl_nationality_gen_ord,cl_nationality_gen_en,cl_sex_gen_ord,cl_sex_gen_en,period,cl_quarter_gen_ord,cl_quarter_gen_en,cl_indicators_lf_en,cl_age_group_10_lf_en,obs_value,data_source,is_estimated
1.0,Saudi,1.0,Male,2013,1.0,First Quarter,Unemployment rate by nationality and sex,Total,7.26,estimated_not_official,True
1.0,Saudi,2.0,Female,2013,1.0,First Quarter,Unemployment rate by nationality and sex,Total,33.6,estimated_not_official,True
1.0,Saudi,999.0,Total,2013,1.0,First Quarter,Unemployment rate by nationality and sex,Total,21.45,estimated_not_official,True
2.0,Non-Saudi,1.0,Male,2013,1.0,First Quarter,Unemployment rate by nationality and sex,Total,0.94,estimated_not_official,True
2.0,Non-Saudi,2.0,Female,2013,1.0,First Quarter,Unemployment rate by nationality and sex,Total,2.46,estimated_not_official,True
2.0,Non-Saudi,999.0,Total,2013,1.0,First Quarter,Unemployment rate by nationality and sex,Total,0.68,estimated_not_official,True
999.0,Total,1.0,Male,2013,1.0,First Quarter,Unemployment rate by nationality and sex,Total,2.97,estimated_not_official,True
999.0,Total,2.0,Female,2013,1.0,First Quarter,Unemployment rate by nationality and sex,Total,20.54,estimated_not_official,True
999.0,Total,999.0,Total,2013,1.0,First Quarter,Unemployment rate by nationality and sex,Total,5.88,estimated_not_official,True
1.0,Saudi,1.0,Male,2013,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,7.18,estimated_not_official,True
1.0,Saudi,2.0,Female,2013,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,33.88,estimated_not_official,True
1.0,Saudi,999.0,Total,2013,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,21.55,estimated_not_official,True
2.0,Non-Saudi,1.0,Male,2013,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,1.02,estimated_not_official,True
2.0,Non-Saudi,2.0,Female,2013,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,2.28,estimated_not_official,True
2.0,Non-Saudi,999.0,Total,2013,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,0.66,estimated_not_official,True
999.0,Total,1.0,Male,2013,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,2.77,estimated_not_official,True
999.0,Total,2.0,Female,2013,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,20.1,estimated_not_official,True
999.0,Total,999.0,Total,2013,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,5.72,estimated_not_official,True
1.0,Saudi,1.0,Male,2013,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,6.92,estimated_not_official,True
1.0,Saudi,2.0,Female,2013,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,33.79,estimated_not_official,True
1.0,Saudi,999.0,Total,2013,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,21.37,estimated_not_official,True
2.0,Non-Saudi,1.0,Male,2013,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,0.98,estimated_not_official,True
2.0,Non-Saudi,2.0,Female,2013,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,2.11,estimated_not_official,True
2.0,Non-Saudi,999.0,Total,2013,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,0.62,estimated_not_official,True
